garden,continent,lineid,population,latitude,longitude,experimental.block,dbolt,dfl,rdiam,rlvs,height,branches,fruit,totfruit,survrepro
SC,NA,NA-122,SCR,33.51666667,-80.41666667,4,82,87,2.8,19,24.2,3,62,62,1
ONT,NA,NA-122,SCR,33.51666667,-80.41666667,4,196,206,2.5,27,25,6,171,171,1
ONT,NA,NA-122,SCR,33.51666667,-80.41666667,5,,,,,,,,0,0
SC,NA,NA-122,SCR,33.51666667,-80.41666667,5,79,86,4.2,29,34.8,17,364,364,1
ONT,NA,NA-123,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-123,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
ONT,NA,NA-123,SCR,33.51666667,-80.41666667,2,,,,,,,,0,0
SC,NA,NA-123,SCR,33.51666667,-80.41666667,2,82,88,8.5,30,40.1,19,664,664,1
SC,NA,NA-123,SCR,33.51666667,-80.41666667,3,81,88,7.3,45,42.3,18,394,394,1
ONT,NA,NA-123,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
SC,NA,NA-123,SCR,33.51666667,-80.41666667,4,78,87,9.6,23,50.1,18,673,673,1
ONT,NA,NA-123,SCR,33.51666667,-80.41666667,4,196,207,2.2,27,27.1,6,108,108,1
SC,NA,NA-123,SCR,33.51666667,-80.41666667,5,101,106,2,24,15.7,7,36,36,1
ONT,NA,NA-123,SCR,33.51666667,-80.41666667,5,,,,,,,,0,0
SC,NA,NA-124,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
ONT,NA,NA-124,SCR,33.51666667,-80.41666667,1,199,209,4,33,30.7,21,401,401,1
ONT,NA,NA-124,SCR,33.51666667,-80.41666667,2,,,,,,,,0,0
SC,NA,NA-124,SCR,33.51666667,-80.41666667,2,87,93,3.5,23,18.3,5,46,46,1
ONT,NA,NA-124,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
SC,NA,NA-124,SCR,33.51666667,-80.41666667,3,81,88,10.7,42,58.3,34,1417,1417,1
SC,NA,NA-124,SCR,33.51666667,-80.41666667,4,85,90,7.6,61,47.6,19,612,612,1
ONT,NA,NA-124,SCR,33.51666667,-80.41666667,4,196,206,2.5,36,28.1,23,308,308,1
ONT,NA,NA-124,SCR,33.51666667,-80.41666667,5,201,209,4,43,35.1,14,385,385,1
SC,NA,NA-124,SCR,33.51666667,-80.41666667,5,82,91,8.7,41,51.7,10,492,492,1
SC,NA,NA-126,SCR,33.51666667,-80.41666667,1,79,86,6.9,53,42.1,21,392,392,1
ONT,NA,NA-126,SCR,33.51666667,-80.41666667,1,206,213,1.7,18,18,5,67,67,1
ONT,NA,NA-126,SCR,33.51666667,-80.41666667,2,,,,,,,,0,0
SC,NA,NA-126,SCR,33.51666667,-80.41666667,2,80,87,9.1,28,41.6,19,929,929,1
ONT,NA,NA-126,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
SC,NA,NA-126,SCR,33.51666667,-80.41666667,3,81,89,8.3,42,42.2,16,434,434,1
SC,NA,NA-126,SCR,33.51666667,-80.41666667,4,84,88,4.5,35,23.2,6,139,139,1
ONT,NA,NA-126,SCR,33.51666667,-80.41666667,4,196,208,2.5,34,24.7,10,127,127,1
SC,NA,NA-126,SCR,33.51666667,-80.41666667,5,81,88,10.6,44,39.4,62,1329,1329,1
ONT,NA,NA-126,SCR,33.51666667,-80.41666667,5,,,,,,,,0,0
SC,NA,NA-127,SCR,33.51666667,-80.41666667,1,81,87,9.4,38,39.6,38,1045,1045,1
ONT,NA,NA-127,SCR,33.51666667,-80.41666667,1,,,,,,,,0,0
SC,NA,NA-127,SCR,33.51666667,-80.41666667,2,80,86,7.4,44,46,15,431,431,1
ONT,NA,NA-127,SCR,33.51666667,-80.41666667,2,200,209,4.3,36,31.7,26,465,465,1
ONT,NA,NA-127,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
SC,NA,NA-127,SCR,33.51666667,-80.41666667,3,84,97,5.9,35,35.7,7,106,106,1
SC,NA,NA-127,SCR,33.51666667,-80.41666667,4,82,88,9.7,62,49.6,9,509,509,1
ONT,NA,NA-127,SCR,33.51666667,-80.41666667,4,198,207,4.1,43,33.1,20,413,413,1
SC,NA,NA-127,SCR,33.51666667,-80.41666667,5,84,89,8,50,50.5,8,462,462,1
ONT,NA,NA-127,SCR,33.51666667,-80.41666667,5,198,208,3.6,37,29.7,27,403,403,1
SC,NA,NA-129,SCR,33.51666667,-80.41666667,1,82,88,4.7,45,35.1,14,291,291,1
ONT,NA,NA-129,SCR,33.51666667,-80.41666667,1,203,213,2.2,24,28.9,13,167,167,1
SC,NA,NA-129,SCR,33.51666667,-80.41666667,2,80,85,7.2,32,44.2,12,456,456,1
ONT,NA,NA-129,SCR,33.51666667,-80.41666667,2,199,213,3.6,31,35.4,19,410,410,1
ONT,NA,NA-129,SCR,33.51666667,-80.41666667,3,,,,,,,,0,0
SC,NA,NA-129,SCR,33.51666667,-80.41666667,3,81,87,8.3,49,40.6,10,293,293,1
ONT,NA,NA-129,SCR,33.51666667,-80.41666667,4,196,207,3.1,39,30.3,12,232,232,1
SC,NA,NA-129,SCR,33.51666667,-80.41666667,4,83,88,7.1,49,41.4,12,385,385,1
SC,NA,NA-129,SCR,33.51666667,-80.41666667,5,79,86,10.5,47,46.5,30,1365,1365,1
ONT,NA,NA-129,SCR,33.51666667,-80.41666667,5,198,213,2.5,27,26.9,8,121,121,1
ONT,NA,NA-13,RP,42.44048889,-76.49535833,1,,,,,,,,0,0
SC,NA,NA-13,RP,42.44048889,-76.49535833,1,91,96,4.2,40,23,9,58,58,1
ONT,NA,NA-13,RP,42.44048889,-76.49535833,2,195,206,2.6,26,26.9,14,469,469,1
SC,NA,NA-13,RP,42.44048889,-76.49535833,2,89,91,9,38,31.2,39,457,457,1
ONT,NA,NA-13,RP,42.44048889,-76.49535833,3,202,209,2.6,21,23.5,11,219,219,1
SC,NA,NA-13,RP,42.44048889,-76.49535833,3,91,95,11.6,37,29.8,109,411,411,1
ONT,NA,NA-13,RP,42.44048889,-76.49535833,4,193,206,2.3,32,24.4,8,171,171,1
SC,NA,NA-13,RP,42.44048889,-76.49535833,4,90,95,5.1,38,29.6,6,116,116,1
ONT,NA,NA-13,RP,42.44048889,-76.49535833,5,200,207,2.7,28,22.4,10,173,173,1
